"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","100n","KVMeter:C1206",""
"2","C2","1","10n","KVMeter:C1206",""
"3","C3","1","4.7uf","KVMeter:C1206",""
"4","D1, D2","2","DIODE-SOD123","KVMeter:SOD123",""
"5","ESC0, PWM0","2","PINHD-1X3","KVMeter:1X03",""
"6","IC1","1","LM358D","KVMeter:SO08",""
"7","OK1","1","PC817","KVMeter:DIL04",""
"8","OLED0","1","PINHD-1X4","KVMeter:1X04",""
"9","R1, R2, R3, R4, R7","5","47K","KVMeter:R1206",""
"10","R5","1","470K","KVMeter:R1206",""
"11","R6","1","100K","KVMeter:R1206",""
"12","R8, R10","2","10K","KVMeter:R1206",""
"13","R9","1","220","KVMeter:R1206",""
"14","R11","1","3RP/1610N","KVMeter:3RP_1610N",""
"15","S1","1","10-XX","KVMeter:B3F-10XX",""
"16","U$1","1","ESP32SUPERMINI_ESP32-SUPERMINI","KVMeter:ESP32SUPERMINI_ESP32-SUPERMINI",""
